PARK,ZIP,ACRES,WARD
DEBOW (RUSSELL),60619.0,0.69,8
WASHINGTON (DINAH),60617.0,0.48,8
LEVIN (JOHN),60644.0,7.04,37
KINZIE (JOHN) PKWY.,60644.0,0.96,37
MOORE (MAURICE),60644.0,3.74,28
CLARK (JOHN),60644.0,2.2,28
HORAN (ALBERT),60612.0,3.22,28
CLAREMONT,60612.0,1.04,28
BARBERRY,60612.0,0.48,28
KEDVALE,60651.0,1.68,26
RUTHERFORD SAYRE,60635.0,13.47,0
PARK NO. 538,60645.0,32.67,0
SHEDD (JOHN G.),60623.0,1.36,22
DUNBAR (PAUL LAURENCE),60616.0,21.91,4
ARMOUR (PHILIP) SQUARE,60616.0,9.05,11
HOYNE (THOMAS),60608.0,2.38,12
NORTHERLY ISLAND,60605.0,117.96,4
CHRISTIANA,60623.0,0.16,24
REYES (GUADALUPE),60608.0,0.71,11
ARMSTRONG (LILLIAN HARDIN),60653.0,9.29,3
DAVIS (DR. NATHAN) SQUARE,60609.0,8.91,15
WIEBOLDT (WILLIAM),60657.0,0.33,32
BROOKS (GWENDOLYN),60653.0,2.56,4
ARCHER (WILLIAM BEATTY),60632.0,14.09,14
PACKINGTOWN,60609.0,0.22,20
"HOUSTON (JESSIE ""MA"")",60615.0,3.96,4
LITTLE VENICE,60609.0,0.96,15
PERIWINKLE,60621.0,0.75,20
"MADIGAN (MICHAEL J., SR.)",60638.0,12.75,13
PARK NO. 527,60621.0,5.75,20
JEFFERSON (THOMAS),60616.0,1.98,0
HONOR� (BERTHA PALMER),60622.0,0.16,2
STEELWORKERS,60617.0,16.92,10
RIVER,60625.0,29.6,0
POTTAWATTOMIE,60626.0,9.45,49
KENNEDY (DENNIS),60655.0,18.48,19
HAMLIN (HANNIBAL),60618.0,9.08,32
LOYOLA,60626.0,40.54,49
LAZARUS (EMMA),60626.0,0.18,49
EDISON (THOMAS ALVA),60631.0,0.83,41
BERGER (ALBERT),60660.0,3.5,48
INDIAN ROAD,60646.0,3.5,39
DEJULIO (ANTHONY),60646.0,0.67,39
ANDERSONVILLE,60640.0,0.24,40
GOMPERS (SAMUEL),60630.0,38.24,39
KIWANIS,60625.0,1.55,39
GROSS (THEODORE),60625.0,1.55,40
CHASE (SALMON),60640.0,4.93,47
GOOSEBERRY,60640.0,0.21,46
MAYFAIR,60630.0,3.0,39
NELSON (ANDREW),60618.0,0.15,33
ROWAN (WILLIAM),60617.0,18.64,10
KENSINGTON,60628.0,4.88,9
COLISEUM,60605.0,0.75,3
ZATTERBERG (HELEN),60613.0,0.22,47
REVERE (PAUL),60618.0,9.49,47
INDEPENDENCE,60618.0,8.82,45
STARR (ELLEN GATES),60612.0,2.13,27
O'HALLAREN (BERNARD),60620.0,9.19,21
THE GROVE,60620.0,0.32,21
SACRAMENTO,60618.0,0.93,33
KILBOURN,60641.0,12.08,30
KELVYN (WILLIAM),60639.0,9.92,31
CRAGIN,60639.0,3.3,31
CLOVER,60614.0,0.41,2
WALSH (JOHN),60614.0,2.18,32
GALEWOOD,60639.0,2.3,29
DEGEORGE (BERNICE),60639.0,0.37,37
"WICKER (CHARLES, JOEL)",60622.0,4.74,1
LA FOLLETTE (ROBERT),60651.0,18.8,37
WASHINGTON SQUARE,60610.0,2.84,2
ECKHART (BERNARD),60622.0,8.85,27
LAKE SHORE,60611.0,7.2,2
CENTRAL,60624.0,0.24,27
ECKERSALL (WALTER HERBERT),60617.0,2.95,7
WEST CHATHAM,60620.0,14.03,21
OHIO & HARDING,60624.0,0.56,37
COTTONWOOD,60644.0,0.25,28
ARRIGO (VICTOR),60607.0,7.07,28
PARK NO. 432,60651.0,0.08,27
WASHINGTON (HAROLD) MEM.,60626.0,0.21,49
ANDERSON (LOUIS),60653.0,0.99,3
CANAL ORIGINS,60608.0,2.43,25
SCHREIBER,60626.0,2.15,40
COSME (MARGARET),60620.0,4.12,19
KEELER (CYRUS),60623.0,0.07,24
FRANKLIN (BENJAMIN),60623.0,9.3,24
HOMAN (JOSEPH),60623.0,0.2,24
SUN YAT-SEN,60616.0,0.45,11
DONOVAN (GEORGE),60609.0,3.24,11
WENTWORTH (JOHN) GARDENS,60609.0,2.53,3
HOLLY,60653.0,0.46,4
CHAMBERLAIN TRIANGLE,60653.0,0.2,4
PENDLETON (HADIYA),60653.0,0.23,3
BIRCH,60653.0,0.16,3
WALNUT,60632.0,0.53,14
STARS & STRIPES,60638.0,1.96,23
COLEMAN (BESSIE),60615.0,0.57,5
PARK NO. 468,60629.0,1.37,13
WENTWORTH (JOHN),60638.0,15.96,13
PASTEUR (LOUIS),60629.0,11.83,13
PRAIRIE WOLF,60637.0,0.17,20
NOTTINGHAM,60638.0,0.64,23
WOLCOTT (ALEXANDER),60636.0,0.24,15
SOUTH SHORE CULTL. CTR.,60649.0,71.79,5
DOOLEY (THOMAS),60652.0,1.38,18
RAINEY (EDWARD),60652.0,14.3,18
AVALON,60619.0,27.71,8
FOSTER (J. FRANK),60620.0,25.2,21
LEE (JOHN),60652.0,0.34,18
NASH (DON) COMM. CTR.,60649.0,1.14,7
DOUGHERTY (DANIEL),60647.0,3.15,7
KRAUSE (FRANCIS VERNON),60617.0,0.18,10
DE BURGOS (JULIA),60647.0,0.51,1
KING (PATRICK)-LOCKHART (ANTHONY),60643.0,0.56,19
LIVINGSTON FIELD,60612.0,2.63,28
RAINBOW BEACH,60649.0,109.13,7
MCINERNEY (THOMAS),60609.0,1.44,11
OAKDALE,60643.0,9.99,21
WARNER GARDEN,60613.0,0.16,47
MAJOR TAYLOR BIKE TRAIL,,34.28,0
FARGO (JAMES) BEACH,60626.0,0.61,49
GOLDBERG (LOUIS),60626.0,0.27,49
OLYMPIA,60631.0,9.75,41
BROMANN (CHARLES),60640.0,0.31,48
CARMEN,60640.0,0.16,47
ROBERTS (DANIEL) SQUARE,60630.0,4.53,45
ASHMORE,60630.0,0.16,45
WILSON (FRANK),60630.0,8.66,45
BUFFALO,60625.0,0.23,33
CHALLENGER,60613.0,2.94,46
WOLFE (RICHARD),60617.0,4.47,10
CRESCENT,60643.0,5.97,19
"BLACKWELDER (I.S., GERTRUDE)",60643.0,5.18,34
MORGAN (THOMAS LEEDS) FIELD,60643.0,3.22,34
BUENA CIRCLE,60613.0,0.45,46
PARK NO. 437,60636.0,0.3,16
HOARD (EDISON),60619.0,2.72,5
DOBSON,60619.0,0.34,8
GRAND CROSSING,60619.0,18.89,8
MARSHFIELD,60620.0,0.96,21
BRADLEY (JOSEPHINE),60617.0,4.24,10
LUELLA,60617.0,1.38,7
HURLEY (TIMOTHY),60643.0,1.54,19
WARREN (LAURENCE),60645.0,89.63,50
PARK NO. 552,60641.0,0.31,31
GRIFFIN (MARION MAHONY),60626.0,1.05,49
INDIAN BOUNDARY,60645.0,12.9,50
FERNWOOD PKWY.,60628.0,9.29,0
GAGE (GEORGE),60629.0,26.5,0
DORIA (HELEN) BEACH,60626.0,0.95,49
D'ELIA (AILEEN),60660.0,0.08,48
GREEN BRIAR,60659.0,4.1,40
HOLLYWOOD,60659.0,7.2,39
FIELD (EUGENE),60625.0,17.82227698,39
PIETROWSKI (SYLVESTER),60617.0,0.67,10
MINUTEMAN,60638.0,8.97,0
